Date,Time,Traffic Volume,Average Speed (km-h),Occupancy Rate (%),Temperature,Precipitation (mm),Wind Speed (km-h),Visibility (km),Hour of Day,Incident Type,Incident Duration (min),Location_Agra,Location_Allahabad,Location_Bareilly,Location_Faizabad,Location_Ghaziabad,Location_Gorakhpur,Location_Kanpur,Location_Lucknow,Location_Mathura,Location_Varanasi,Day of Week_Friday,Day of Week_Monday,Day of Week_Saturday,Day of Week_Sunday,Day of Week_Thursday,Day of Week_Tuesday,Day of Week_Wednesday,Hour,Day,Month,Year,Traffic_Lag_1,Traffic_Lag_2,Traffic_Lag_3
2023-12-03,08:00:00,0.0,61,80,0.12195121951219515,3.0,12,7,8,Accident,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,3,12,2023,0.053658536585365846,0.058536585365853655,0.07804878048780486
2023-12-03,12:00:00,0.009756097560975605,54,88,0.19512195121951223,1.0,8,9,12,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12,3,12,2023,0.0,0.053658536585365846,0.058536585365853655
2023-12-03,16:00:00,0.0,46,93,0.17073170731707318,0.0,10,10,16,Roadblock,40,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16,3,12,2023,0.009756097560975605,0.0,0.053658536585365846
2023-12-03,20:00:00,0.03414634146341464,63,77,0.0975609756097561,2.0,7,8,20,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,20,3,12,2023,0.0,0.009756097560975605,0.0
2023-12-03,23:00:00,0.01951219512195121,69,66,0.048780487804878064,0.0,5,10,23,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,23,3,12,2023,0.03414634146341464,0.0,0.009756097560975605
2023-12-04,08:00:00,0.14634146341463414,58,78,0.12195121951219515,1.0,11,9,8,Accident,20,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,12,2023,0.01951219512195121,0.03414634146341464,0.0
2023-12-04,12:00:00,0.16585365853658537,54,83,0.19512195121951223,0.0,12,10,12,None,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12,4,12,2023,0.14634146341463414,0.01951219512195121,0.03414634146341464
2023-12-04,16:00:00,0.15609756097560976,47,88,0.17073170731707318,2.0,9,8,16,Heavy Traffic,35,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,16,4,12,2023,0.16585365853658537,0.14634146341463414,0.01951219512195121
2023-12-04,20:00:00,0.15121951219512195,64,74,0.0975609756097561,0.0,10,10,20,None,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,20,4,12,2023,0.15609756097560976,0.16585365853658537,0.14634146341463414
2023-12-04,23:00:00,0.04878048780487804,70,63,0.07317073170731711,0.0,6,9,23,None,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,23,4,12,2023,0.15121951219512195,0.15609756097560976,0.16585365853658537
2023-12-05,08:00:00,0.15609756097560976,59,79,0.0975609756097561,2.0,10,8,8,Roadwork,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,5,12,2023,0.04878048780487804,0.15121951219512195,0.15609756097560976
2023-12-05,12:00:00,0.1804878048780488,53,85,0.17073170731707318,0.0,13,10,12,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,5,12,2023,0.15609756097560976,0.04878048780487804,0.15121951219512195
2023-12-05,16:00:00,0.24390243902439027,45,90,0.14634146341463414,3.0,8,7,16,Accident,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16,5,12,2023,0.1804878048780488,0.15609756097560976,0.04878048780487804
2023-12-05,20:00:00,0.12682926829268293,66,76,0.12195121951219515,0.0,9,9,20,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20,5,12,2023,0.24390243902439027,0.1804878048780488,0.15609756097560976
2023-12-05,23:00:00,0.058536585365853655,68,65,0.048780487804878064,0.0,6,10,23,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23,5,12,2023,0.12682926829268293,0.24390243902439027,0.1804878048780488
2023-12-06,08:00:00,0.16097560975609757,60,81,0.07317073170731711,1.0,10,8,8,Minor Accident,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,12,2023,0.058536585365853655,0.12682926829268293,0.24390243902439027
2023-12-06,12:00:00,0.18536585365853656,52,87,0.14634146341463414,0.0,11,10,12,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,6,12,2023,0.16097560975609757,0.058536585365853655,0.12682926829268293
2023-12-06,16:00:00,0.24878048780487802,46,92,0.12195121951219515,2.0,7,9,16,Heavy Traffic,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,6,12,2023,0.18536585365853656,0.16097560975609757,0.058536585365853655
2023-12-06,20:00:00,0.12195121951219512,65,78,0.07317073170731711,1.0,10,8,20,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,6,12,2023,0.24878048780487802,0.18536585365853656,0.16097560975609757
2023-12-06,23:00:00,0.06341463414634146,69,68,0.02439024390243902,0.0,5,10,23,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23,6,12,2023,0.12195121951219512,0.24878048780487802,0.18536585365853656
2023-12-07,08:00:00,0.16585365853658537,61,82,0.0975609756097561,2.0,9,9,8,Roadblock,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,7,12,2023,0.06341463414634146,0.12195121951219512,0.24878048780487802
2023-12-07,12:00:00,0.19024390243902436,51,88,0.17073170731707318,0.0,12,10,12,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12,7,12,2023,0.16585365853658537,0.06341463414634146,0.12195121951219512
2023-12-07,16:00:00,0.25365853658536586,44,93,0.14634146341463414,1.0,8,8,16,Accident,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16,7,12,2023,0.19024390243902436,0.16585365853658537,0.06341463414634146
2023-12-07,20:00:00,0.11707317073170731,67,80,0.12195121951219515,0.0,9,9,20,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,20,7,12,2023,0.25365853658536586,0.19024390243902436,0.16585365853658537
2023-12-07,23:00:00,0.06829268292682927,70,70,0.048780487804878064,0.0,7,10,23,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,23,7,12,2023,0.11707317073170731,0.25365853658536586,0.19024390243902436
2023-12-08,08:00:00,0.17073170731707318,60,83,0.07317073170731711,1.0,11,8,8,Minor Accident,20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,8,12,2023,0.06829268292682927,0.11707317073170731,0.25365853658536586
2023-12-08,12:00:00,0.19512195121951217,50,89,0.12195121951219515,0.0,10,10,12,None,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12,8,12,2023,0.17073170731707318,0.06829268292682927,0.11707317073170731
2023-12-08,16:00:00,0.25853658536585367,43,94,0.0975609756097561,2.0,7,9,16,Heavy Traffic,60,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16,8,12,2023,0.19512195121951217,0.17073170731707318,0.06829268292682927
2023-12-08,20:00:00,0.1121951219512195,68,82,0.048780487804878064,0.0,8,10,20,None,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,20,8,12,2023,0.25853658536585367,0.19512195121951217,0.17073170731707318
2023-12-08,23:00:00,0.07317073170731708,71,71,0.02439024390243902,0.0,5,9,23,None,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,23,8,12,2023,0.1121951219512195,0.25853658536585367,0.19512195121951217
2023-12-09,08:00:00,0.175609756097561,59,84,0.0975609756097561,2.0,12,9,8,Accident,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,9,12,2023,0.07317073170731708,0.1121951219512195,0.25853658536585367
2023-12-09,12:00:00,0.19999999999999998,49,90,0.17073170731707318,0.0,11,10,12,None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,9,12,2023,0.175609756097561,0.07317073170731708,0.1121951219512195
2023-12-09,16:00:00,0.2634146341463415,42,95,0.14634146341463414,1.0,9,8,16,Heavy Traffic,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16,9,12,2023,0.19999999999999998,0.175609756097561,0.07317073170731708
2023-12-09,20:00:00,0.10731707317073169,69,83,0.0975609756097561,0.0,7,9,20,None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,20,9,12,2023,0.2634146341463415,0.19999999999999998,0.175609756097561
2023-12-09,23:00:00,0.07804878048780486,72,72,0.048780487804878064,0.0,6,10,23,None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23,9,12,2023,0.10731707317073169,0.2634146341463415,0.19999999999999998
2023-12-10,08:00:00,0.6804878048780488,44,60,0.29268292682926833,0.0,11,10,8,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,10,12,2023,0.07804878048780486,0.10731707317073169,0.2634146341463415
2023-12-10,12:00:00,0.5980487804878049,44,55,0.07317073170731711,0.0,11,10,12,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12,10,12,2023,0.6804878048780488,0.07804878048780486,0.10731707317073169
2023-12-10,16:00:00,0.26634146341463416,47,69,0.24390243902439027,0.0,5,10,16,Roadwork,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16,10,12,2023,0.5980487804878049,0.6804878048780488,0.07804878048780486
2023-12-10,20:00:00,0.7360975609756097,66,69,0.14634146341463414,0.0,6,10,20,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,20,10,12,2023,0.26634146341463416,0.5980487804878049,0.6804878048780488
2023-12-10,23:00:00,0.7209756097560975,63,44,0.14634146341463414,0.0,8,10,23,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,23,10,12,2023,0.7360975609756097,0.26634146341463416,0.5980487804878049
2023-12-11,08:00:00,0.6473170731707317,55,45,0.24390243902439027,0.0,11,10,8,Accident,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,11,12,2023,0.7209756097560975,0.7360975609756097,0.26634146341463416
2023-12-11,12:00:00,0.19756097560975608,46,36,0.21951219512195122,0.0,7,10,12,None,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12,11,12,2023,0.6473170731707317,0.7209756097560975,0.7360975609756097
2023-12-11,16:00:00,0.13560975609756099,66,72,0.2682926829268293,0.0,8,10,16,None,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,16,11,12,2023,0.19756097560975608,0.6473170731707317,0.7209756097560975
2023-12-11,20:00:00,0.6551219512195122,58,73,0.21951219512195122,0.0,5,10,20,None,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,20,11,12,2023,0.13560975609756099,0.19756097560975608,0.6473170731707317
2023-12-11,23:00:00,0.3746341463414634,57,67,0.14634146341463414,0.0,5,10,23,Construction,30,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,23,11,12,2023,0.6551219512195122,0.13560975609756099,0.19756097560975608
2023-12-12,08:00:00,0.2019512195121951,43,47,0.24390243902439027,0.0,12,10,8,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,12,12,2023,0.3746341463414634,0.6551219512195122,0.13560975609756099
2023-12-12,12:00:00,0.5741463414634147,57,74,0.24390243902439027,0.0,8,10,12,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,12,12,2023,0.2019512195121951,0.3746341463414634,0.6551219512195122
2023-12-12,16:00:00,0.3770731707317073,63,71,0.12195121951219515,0.0,5,10,16,Roadwork,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16,12,12,2023,0.5741463414634147,0.2019512195121951,0.3746341463414634
2023-12-12,20:00:00,0.3668292682926829,61,69,0.17073170731707318,0.0,12,10,20,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20,12,12,2023,0.3770731707317073,0.5741463414634147,0.2019512195121951
2023-12-12,23:00:00,0.5107317073170732,44,33,0.29268292682926833,0.0,10,10,23,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23,12,12,2023,0.3668292682926829,0.3770731707317073,0.5741463414634147
2023-12-13,08:00:00,0.26634146341463416,56,36,0.3170731707317074,0.0,6,10,8,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,13,12,2023,0.5107317073170732,0.3668292682926829,0.3770731707317073
2023-12-13,12:00:00,0.5195121951219512,46,73,0.29268292682926833,0.0,11,10,12,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,13,12,2023,0.26634146341463416,0.5107317073170732,0.3668292682926829
2023-12-13,16:00:00,0.12536585365853659,63,34,0.0975609756097561,0.0,10,10,16,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,13,12,2023,0.5195121951219512,0.26634146341463416,0.5107317073170732
2023-12-13,20:00:00,0.6682926829268293,61,36,0.0975609756097561,0.0,14,10,20,Roadwork,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,13,12,2023,0.12536585365853659,0.5195121951219512,0.26634146341463416
2023-12-13,23:00:00,0.7048780487804879,58,75,0.24390243902439027,0.0,9,10,23,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23,13,12,2023,0.6682926829268293,0.12536585365853659,0.5195121951219512
2023-12-14,08:00:00,0.6858536585365854,42,60,0.24390243902439027,0.0,6,10,8,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,14,12,2023,0.7048780487804879,0.6682926829268293,0.12536585365853659
2023-12-14,12:00:00,0.675609756097561,56,49,0.17073170731707318,0.0,11,10,12,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12,14,12,2023,0.6858536585365854,0.7048780487804879,0.6682926829268293
2023-12-14,16:00:00,0.4751219512195122,56,58,0.17073170731707318,0.0,10,10,16,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16,14,12,2023,0.675609756097561,0.6858536585365854,0.7048780487804879
2023-12-14,20:00:00,0.23951219512195124,67,67,0.0975609756097561,0.0,7,10,20,Roadwork,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,20,14,12,2023,0.4751219512195122,0.675609756097561,0.6858536585365854
2023-12-14,23:00:00,0.7004878048780488,43,44,0.21951219512195122,0.0,12,10,23,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,23,14,12,2023,0.23951219512195124,0.4751219512195122,0.675609756097561
2023-12-15,08:00:00,0.6341463414634146,47,74,0.17073170731707318,0.0,5,10,8,None,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,15,12,2023,0.7004878048780488,0.23951219512195124,0.4751219512195122
2023-12-15,12:00:00,0.38,41,54,0.19512195121951223,0.0,10,10,12,None,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12,15,12,2023,0.6341463414634146,0.7004878048780488,0.23951219512195124
2023-12-15,16:00:00,0.7551219512195122,46,48,0.048780487804878064,0.0,12,10,16,Roadwork,15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16,15,12,2023,0.38,0.6341463414634146,0.7004878048780488
2023-12-15,20:00:00,0.40731707317073174,56,39,0.14634146341463414,0.0,9,10,20,None,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,20,15,12,2023,0.7551219512195122,0.38,0.6341463414634146
2023-12-15,23:00:00,0.328780487804878,60,68,0.07317073170731711,0.0,11,10,23,None,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,23,15,12,2023,0.40731707317073174,0.7551219512195122,0.38
2023-12-16,08:00:00,0.735609756097561,43,68,0.24390243902439027,0.0,8,10,8,None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,16,12,2023,0.328780487804878,0.40731707317073174,0.7551219512195122
2023-12-16,12:00:00,0.20536585365853657,60,40,0.29268292682926833,0.0,12,10,12,None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,16,12,2023,0.735609756097561,0.328780487804878,0.40731707317073174
2023-12-16,16:00:00,0.26926829268292685,65,44,0.0975609756097561,0.0,7,10,16,None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16,16,12,2023,0.20536585365853657,0.735609756097561,0.328780487804878
2023-12-16,20:00:00,0.3673170731707317,66,60,0.29268292682926833,0.0,11,10,20,Roadwork,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,20,16,12,2023,0.26926829268292685,0.20536585365853657,0.735609756097561
2023-12-16,23:00:00,0.2834146341463415,66,68,0.21951219512195122,0.0,8,10,23,None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23,16,12,2023,0.3673170731707317,0.26926829268292685,0.20536585365853657
2023-12-17,08:00:00,0.40146341463414636,48,41,0.19512195121951223,0.0,11,10,8,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,17,12,2023,0.2834146341463415,0.3673170731707317,0.26926829268292685
2023-12-17,12:00:00,0.4034146341463415,42,55,0.29268292682926833,0.0,8,10,12,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12,17,12,2023,0.40146341463414636,0.2834146341463415,0.3673170731707317
2023-12-17,16:00:00,0.6341463414634146,61,36,0.07317073170731711,0.0,12,10,16,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16,17,12,2023,0.4034146341463415,0.40146341463414636,0.2834146341463415
2023-12-17,20:00:00,0.12439024390243902,58,50,0.14634146341463414,0.0,8,10,20,Roadwork,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,20,17,12,2023,0.6341463414634146,0.4034146341463415,0.40146341463414636
2023-12-17,23:00:00,0.6834146341463415,56,61,0.12195121951219515,0.0,5,10,23,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,23,17,12,2023,0.12439024390243902,0.6341463414634146,0.4034146341463415
2023-12-18,08:00:00,0.23317073170731709,52,62,0.19512195121951223,0.0,8,10,8,None,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,18,12,2023,0.6834146341463415,0.12439024390243902,0.6341463414634146
2023-12-18,12:00:00,0.30195121951219517,55,70,0.19512195121951223,0.0,8,10,12,None,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12,18,12,2023,0.23317073170731709,0.6834146341463415,0.12439024390243902
2023-12-18,16:00:00,0.4521951219512196,63,51,0.14634146341463414,0.0,7,10,16,None,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,16,18,12,2023,0.30195121951219517,0.23317073170731709,0.6834146341463415
2023-12-18,20:00:00,0.3653658536585366,53,70,0.2682926829268293,0.0,14,10,20,Roadwork,30,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,20,18,12,2023,0.4521951219512196,0.30195121951219517,0.23317073170731709
2023-12-18,23:00:00,0.31707317073170727,57,42,0.0975609756097561,0.0,8,10,23,None,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,23,18,12,2023,0.3653658536585366,0.4521951219512196,0.30195121951219517
2023-12-19,08:00:00,0.10097560975609757,65,60,0.17073170731707318,0.0,12,10,8,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,19,12,2023,0.31707317073170727,0.3653658536585366,0.4521951219512196
2023-12-19,12:00:00,0.4239024390243903,47,58,0.0975609756097561,0.0,11,10,12,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,19,12,2023,0.10097560975609757,0.31707317073170727,0.3653658536585366
2023-12-19,16:00:00,0.18487804878048777,49,36,0.2682926829268293,0.0,14,10,16,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16,19,12,2023,0.4239024390243903,0.10097560975609757,0.31707317073170727
2023-12-19,20:00:00,0.22731707317073171,41,43,0.17073170731707318,0.0,6,10,20,Roadwork,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20,19,12,2023,0.18487804878048777,0.4239024390243903,0.10097560975609757
2023-12-19,23:00:00,0.7478048780487805,64,40,0.14634146341463414,0.0,7,10,23,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23,19,12,2023,0.22731707317073171,0.18487804878048777,0.4239024390243903
2023-12-20,08:00:00,0.6941463414634147,56,31,0.24390243902439027,0.0,9,10,8,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,20,12,2023,0.7478048780487805,0.22731707317073171,0.18487804878048777
2023-12-20,12:00:00,0.5804878048780489,51,33,0.2682926829268293,0.0,10,10,12,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,20,12,2023,0.6941463414634147,0.7478048780487805,0.22731707317073171
2023-12-20,16:00:00,0.3395121951219512,41,75,0.12195121951219515,0.0,5,10,16,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,20,12,2023,0.5804878048780489,0.6941463414634147,0.7478048780487805
2023-12-20,20:00:00,0.5190243902439025,44,43,0.21951219512195122,0.0,6,10,20,Roadwork,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,20,12,2023,0.3395121951219512,0.5804878048780489,0.6941463414634147
2023-12-20,23:00:00,0.3439024390243902,43,45,0.14634146341463414,0.0,8,10,23,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23,20,12,2023,0.5190243902439025,0.3395121951219512,0.5804878048780489
2023-12-21,08:00:00,0.1653658536585366,41,72,0.12195121951219515,0.0,12,10,8,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,21,12,2023,0.3439024390243902,0.5190243902439025,0.3395121951219512
2023-12-21,12:00:00,0.3156097560975609,56,32,0.19512195121951223,0.0,12,10,12,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12,21,12,2023,0.1653658536585366,0.3439024390243902,0.5190243902439025
2023-12-21,16:00:00,0.4165853658536586,69,70,0.14634146341463414,0.0,12,10,16,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16,21,12,2023,0.3156097560975609,0.1653658536585366,0.3439024390243902
2023-12-21,20:00:00,0.42536585365853663,44,55,0.07317073170731711,0.0,11,10,20,Roadwork,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,20,21,12,2023,0.4165853658536586,0.3156097560975609,0.1653658536585366
2023-12-21,23:00:00,0.5258536585365854,44,44,0.29268292682926833,0.0,11,10,23,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,23,21,12,2023,0.42536585365853663,0.4165853658536586,0.3156097560975609
2023-12-22,08:00:00,0.11073170731707316,48,70,0.12195121951219515,0.0,7,10,8,None,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,22,12,2023,0.5258536585365854,0.42536585365853663,0.4165853658536586
2023-12-22,12:00:00,0.5058536585365854,50,63,0.0975609756097561,0.0,8,10,12,None,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12,22,12,2023,0.11073170731707316,0.5258536585365854,0.42536585365853663
2023-12-22,16:00:00,0.5039024390243902,48,69,0.0975609756097561,0.0,10,10,16,Roadwork,15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16,22,12,2023,0.5058536585365854,0.11073170731707316,0.5258536585365854
2023-12-22,20:00:00,0.21121951219512194,63,34,0.21951219512195122,0.0,14,10,20,None,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,20,22,12,2023,0.5039024390243902,0.5058536585365854,0.11073170731707316
2023-12-22,23:00:00,0.5536585365853659,50,60,0.21951219512195122,0.0,5,10,23,None,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,23,22,12,2023,0.21121951219512194,0.5039024390243902,0.5058536585365854
2023-12-23,08:00:00,0.18243902439024393,42,45,0.2682926829268293,0.0,10,10,8,None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,23,12,2023,0.5536585365853659,0.21121951219512194,0.5039024390243902
2023-12-23,12:00:00,0.7531707317073171,50,49,0.12195121951219515,0.0,11,10,12,None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,23,12,2023,0.18243902439024393,0.5536585365853659,0.21121951219512194
